Song,Artist(s),Writer(s),Album,Year,Ref.
"""Cold as You""",Taylor Swift,"Taylor Swift 
Liz Rose",*Taylor Swift*,2006,[2]
"""Come Back... Be Here""",Taylor Swift,"Taylor Swift 
Dan Wilson","*Red*
(Deluxe edition)*and Red (Taylor's Version)*",2012 and 2021,[15]
"""Come in with the Rain""",Taylor Swift,"Taylor Swift 
Liz Rose","*Fearless* (Platinum edition)
and *Fearless (Taylor's Version)*",2009 and 2021,[32]
"""Coney Island""","Taylor Swift
featuring the National","Taylor Swift 
Aaron Dessner 
Bryce Dessner 
William Bowery",*Evermore*,2020,[44]
"""Cornelia Street""",Taylor Swift,Taylor Swift ‡,*Lover*,2019,[16]
"""Cowboy like Me""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Crazier""",Taylor Swift,"Taylor Swift 
Robert Ellis Orrall",*Hannah Montana: The Movie*,2009,[47]
"""Cruel Summer""",Taylor Swift,"Taylor Swift
Jack Antonoff
St. Vincent",*Lover*,2019,[16]
"""Dancing with Our Hands Tied""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback 
Oscar Holter",*Reputation*,2017,[42]
"""Daylight""",Taylor Swift,Taylor Swift ‡,*Lover*,2019,[16]
"""Dear John""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Dear Reader""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights* (3am Edition),2022,[35]
"""Death by a Thousand Cuts""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Lover*,2019,[16]
"""Deja Vu""",Olivia Rodrigo,"Olivia Rodrigo
Dan Nigro
Taylor Swift
Jack Antonoff
Annie Clark",*Sour*,2021,[48]
"""Delicate""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*Reputation*,2017,[42]
"""Don't Blame Me""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*Reputation*,2017,[42]
"""Don't You""",Taylor Swift,"Taylor Swift 
Tommy Lee James",*Fearless (Taylor's Version)*,2021,[41]
"""Dorothea""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Down Bad""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""Dress""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Reputation*,2017,[42]
"""Drops of Jupiter"" (live cover)",Taylor Swift,"Charlie Colin
Rob Hotchkiss
Jimmy Stafford
Pat Monahan
Scott Underwood",*Speak Now World Tour – Live*,2011,[34]
"""Electric Touch""",Taylor Swift featuring Fall Out Boy,Taylor Swift ‡,*Speak Now (Taylor's Version)*,2023,[28]
"""Enchanted""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""End Game""","Taylor Swift 
featuring Ed Sheeran and Future","Taylor Swift 
Max Martin 
Shellback 
Ed Sheeran 
Nayvadius Wilburn",*Reputation*,2017,[42]
"""Epiphany""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""Evermore""","Taylor Swift
featuring Bon Iver","Taylor Swift 
Justin Vernon 
William Bowery",*Evermore*,2020,[44]
"""Everything Has Changed""","Taylor Swift 
featuring Ed Sheeran","Taylor Swift 
Ed Sheeran",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Exile""","Taylor Swift 
featuring Bon Iver","Taylor Swift
Justin Vernon
William Bowery",*Folklore*,2020,[10]
"""Eyes Open""",Taylor Swift,Taylor Swift ‡,*The Hunger Games*[c],2012 and 2023,[49]
"""False God""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Lover*,2019,[16]
"""Fearless""",Taylor Swift,"Taylor Swift 
Liz Rose 
Hillary Lindsey",*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Fifteen""",Taylor Swift,Taylor Swift ‡,*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Florida!!!""",Taylor Swift featuring Florence and the Machine,"Taylor Swift 
Florence Welch",*The Tortured Poets Department*,2024,
"""Foolish One""",Taylor Swift,Taylor Swift ‡,*Speak Now (Taylor's Version)*,2023,[28]
"""Forever & Always""",Taylor Swift,Taylor Swift ‡,*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Forever Winter""",Taylor Swift,"Taylor Swift 
Mark Foster",*Red (Taylor's Version)*,2021,[21]
"""Fortnight""","Taylor Swift 
featuring Post Malone","Taylor Swift 
Jack Antonoff 
Austin Post",*The Tortured Poets Department*,2024,
"""Fresh Out the Slammer""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""Gasoline""","Haim
and Taylor Swift","Danielle Haim
Este Haim
Alana Haim
Rostam Batmanglij
Ariel Rechtshaid","*Women in Music Pt. III*
(Expanded edition)",2021,[50]
"""Getaway Car""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Reputation*,2017,[42]
"""Girl at Home""",Taylor Swift,Taylor Swift ‡,"*Red* (Deluxe edition)
and *Red (Taylor's Version)*",2012 and 2021,[15]
"""Glitch""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Mark Spears
Sam Dew",*Midnights* (3am Edition),2022,[35]
"""Gold Rush""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Evermore*,2020,[44]
"""Gorgeous""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback",*Reputation*,2017,[42]
"""The Great War""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Midnights* (3am Edition),2022,[35]
"""Guilty as Sin?""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""Half of My Heart"" (album version)","John Mayer
featuring Taylor Swift",John Mayer,*Battle Studies*,2009,[51]
"""Happiness""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Haunted""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Hey Stephen""",Taylor Swift,Taylor Swift ‡,*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""High Infidelity""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Midnights* (3am Edition),2022,[35]
"""Highway Don't Care""","Tim McGraw and Taylor Swift
featuring Keith Urban","Mark Irwin
Josh Kear
Brad Warren 
Brett Warren",*Two Lanes of Freedom*,2013,[52]
"""Hits Different""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Aaron Dessner",*Midnights* (Deluxe edition),2022,[53]
"""Hoax""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""Hold On"" (live cover)","Jack Ingram
featuring Taylor Swift",Blu Sanders,*Rhapsody Originals*[d],2007,[54]
"""Holy Ground""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""How Did It End?""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""How You Get the Girl""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""I Almost Do""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""I Bet You Think About Me""","Taylor Swift 
featuring Chris Stapleton","Taylor Swift 
Lori McKenna",*Red (Taylor's Version)*,2021,[21]
"""I Can Do It with a Broken Heart""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""I Can See You""",Taylor Swift,Taylor Swift ‡,*Speak Now (Taylor's Version)*,2023,[28]
"""I Can Fix Him (No Really I Can)""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""I Did Something Bad""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback",*Reputation*,2017,[42]
"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,"Taylor Swift
Sam Dew
Jack Antonoff",*Fifty Shades Darker: Original Motion Picture Soundtrack*,2016,[55]
"""I Forgot That You Existed""",Taylor Swift,"Taylor Swift
Louis Bell
Adam King Feeney",*Lover*,2019,[16]
"""I Hate It Here""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""I Heart ?""",Taylor Swift,Taylor Swift ‡,*Beautiful Eyes*,2008,[3]
"""I Look in People's Windows""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Patrik Berger","*The Tortured Poets Department*
(The Anthology)",2024,
"""I Knew You Were Trouble""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""I Know Places""",Taylor Swift,"Taylor Swift
Ryan Tedder",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
